product_code,product_name_en,product_name_ko,rows,sentiment_pos,sentiment_neg,sentiment_neu,top_categories,neg_excerpt_1,neg_excerpt_2,neg_excerpt_3,neg_excerpt_4,neg_excerpt_5
GS5,Galaxy S5,갤럭시 S5,486,234,101,151,model_mention:22|comparison:20|battery:13|display:6|software:5,"Eesh, that does sound rough. The last Samsung phone I owned was the Galaxy S5, I see on the Wikipedia page Samsung devices have been locked down since early 2021 :( Not like I would try to give you ad",">Modern phones are smaller, need to be more water proof, stuffed to an unimaginable degree with components -- and modern batteries last a really long time. This argument always comes up when talking a",Waterproofing being a problem was always a myth. The Samsung Galaxy S5 was IP67 certified and had a removable battery. I think this removability is part of a broader push for the EU to become a circul,"The old Samsung Galaxy S5 was waterproof and had a user-replaceable battery, so your argument doesn&#x27;t hold water.","> The market has shown repeatedly that few consumers value no-tool battery replacements, relative to various other features they'd have to give up to get it. People are voting with their wallets and i"
GS24U,Galaxy S24 Ultra,갤럭시 S24 울트라,426,156,59,211,comparison:129|software:79|camera:60|display:59|model_mention:55,"Galaxy 24 Ultra USB Type C does not connect to computer Even if I connect the Galaxy 24 Ultra to the computer motherboard USB port with a USB-C type cable that is about 6 years old, it is not recogniz","I'm also 24, 1TB, but I'm planning to change it because the insurance period is over. I don't know anything else, but it's really hot these days when I turn on 5G.","BerryBubbles said: I'm not planning on giving up my s24u anytime soon, but now I may have to go check one out. Click to expand... Same here. I figure one more year and we'll see what they come out wit","Download svplayer, crank the video format to 120fps or even 60fps crank brightness to 100%, watch a clip for longer than one minute and watch the screen dim and start stuttering while heating up somet",/ settings / general management / keyboard / show button to hide keyboard . You can use this button on the bottom to hide keyboard.
GS8,Galaxy S8,갤럭시 S8,400,180,79,141,comparison:11|software:7|display:6|camera:5|model_mention:4,Reason for this Galaxy S8 update Patch removes serious security vulnerability that forces even older phones to update,"> My Samsung Galaxy S8 died at 7 years. Yikes, that is a long time! How many times did you fix it (screen or battery)?",The other day I checked gsmarena for any smartphones with a width of 68mm or less (like my Xperia 5 V or previous Galaxy S8) that came out this year. Here's the single search result that appeared: htt,"> Since when has DPI started _decreasing_ again? Since the pandemic. I have a still functioning Galaxy S8 in my drawer, which shames modern phones with its 570ppi density.",I own a Galaxy Tab (an s 8.4?) from 2018 with Dex on Linux (or was it Linux or Dex?) It's a docker container running an Ubuntu 16.04 desktop on the Android kernel. They developed it with Canonical to 
GZF1,Galaxy Fold,갤럭시 폴드,382,170,108,104,display:90|model_mention:89|comparison:78|build_quality:61|software:55,"In regards to the charging speeds, it will be just a bit more than half of what the Razr Fold can do at 45W vs 80W on the Razr. I'll be trying the Razr Fold since it seems to have everything I wanted ",Motorola launches 'Razr Fold' in the US on the 21st... Is it more expensive than the ‘Galaxy Fold’?3 Motorola launches 'Razr Fold' in the US on the 21st... Is it more expensive than the ‘Galaxy Fold’?,"The Galaxy Fold ‘Wide’ is so disappointing. No UDC The screen ratio, which is the reason for its existence, is set too conservatively compared to competitors, so there is only a slight difference from","I don't see how that's technically any less possible than a Galaxy Fold (6 years ago!). The flaws on the screen, risk of dust etc. is the very same as the first release from Samsung. Some bits of back","@ Mr. LCC has many durability issues. The problem of discoloration is particularly serious. (*The photo is a 2-month-old case taken from a club) For a thin and light case, we recommend the PITAKA case"
GS23,Galaxy S23,갤럭시 S23,374,106,55,213,comparison:199|model_mention:133|software:65|performance:49|price:43,"People who use S23 will change when S27 comes out?? I finished changing my hair before the expiration of Samkeple. Since I used it for 3 years, I had the mindset to use it for 3 more years. It broke m",S23 users raised 8.5 and how is the fever? I'm using an S23 and I raised the temperature to 8.5 and the heat went up like crazy. This will get better over time... right?,"Stuttering after raising S23 to 8.5 has become more frequent. When scrolling down, it stutters at about 30 frames. This is most likely a RAM issue. These guys, everyone uses their phones for a long ti","Does S23 not optimize 8.5? I updated it and used it for over a month. I was writing it well, but suddenly for a few seconds The screen lags as if the refresh rate was 30. This is a symptom that didn’t","My Samsung has ""Galaxy AI"" all over it, it's just an S23. I've tried to use it out of curiosity and it rejects a lot of my image edits as inappropriate (violence) so the foundation is set."
GN1,Galaxy Note,갤럭시 노트,369,230,70,69,comparison:3|battery:3|software:3|build_quality:2|accessories:1,"Hahahahaha, I used the Galaxy Note 1 and it was garbage so it became an opportunity for me to go for the iPhone.","Somehow this reminds me of the time I downloaded, compiled, and ran a Bitcoin miner with the app called Linux Deploy on my then-new Galaxy Note (the thing called phablet that is now positively small).",A relative of mine used their Galaxy Note II until the internal flash died and it stopped booting. It was definitely over 5 years old by that point.,"They patched the issue, didn&#x27;t they? Here we are talking about hardware issue that can cause physical harm to people, companies must eat that cost. Same way Samsung did by recalling exploding Gal","In my experience, Samsung is a label that means ""stay far, far away."" From the Galaxy Note fiasco to my microwave to my dishwasher to ... Probably at least three other products before I learned my les"
GB4P,Galaxy Buds4 Pro,갤럭시 버즈4 프로,363,95,49,219,accessories:127|price:93|others:57|comparison:47|design:25,"It's a pity that it's the original price, but if you get Onnuri this time, it seems like it will cost up to 220,000 Bur4p.",Buds 4 Pro is cheap here. Can I buy it here? There is a site called croket. It is cheap here. Can I buy it? Are there any downsides to buying directly from overseas?,"Buds 4 Pro, what kind of bug is this? One unit's no-can setting becomes random 2-3 times per hour;; It goes back to normal after 3 seconds, but it's really annoying.","No, go to Buds 4 Pro. Buds 3 Pro has a lot of problems.","No, go to Buds 4 Pro. Buds 3 Pro has a lot of problems."
GS20,Galaxy S20,갤럭시 S20,331,224,44,63,comparison:141|model_mention:140|camera:119|display:114|software:94,"Samsung Galaxy S20/S20+/S20 Ultra & S20 FE [T.U.] Damn, I forgot that the S20 FE was not eSim compatible. I'm going to Switzerland for a week, that would have made my life easier. It's hardware, can't","Samsung Galaxy S20/S20+/S20 Ultra & S20 FE [T.U.] It seems to me that these offers are over, but there's no reason why they won't come back. --------------- Feedback - Games & Hardware Sales","Samsung Galaxy S20/S20+/S20 Ultra & S20 FE [T.U.] Especially since the sound is present after restarting the phone and for the first SMS received, then there is no more sound... I'm going to a store n","Samsung Galaxy S20/S20+/S20 Ultra & S20 FE [T.U.] there must be an oxidized or tired part inside --------------- Watercooling CPU+GPU, i9 9900KF @4.7Ghz, 32Go Ddr4 3200Mhz Dual, RTX 4070Ti","Samsung Galaxy S20/S20+/S20 Ultra & S20 FE [T.U.] After this USB port problem, it was the sound for notifications (reception of an SMS) that disappeared, it works for everything else.... -------------"
GS7,Galaxy S7,갤럭시 S7,308,163,56,89,comparison:8|model_mention:6|battery:4|display:4|connectivity:3,"Galaxy S7 dead after battery replacement - no signs of life with new or old battery I recently replaced the battery in my Samsung Galaxy S7 with a new one from iFixit. After installation, the phone is","&quot;Slow phone with slow animations&quot; is a crazy assessment, I switched from Galaxy S7 to iPhone XR in 2018 because the Galaxy was (like every other Android I had) slow to do everything, applica","Could be; after ~3 years, my Samsung Galaxy S7 would reset if I tried to make a call with battery below ~20%. I immediately knew it was the battery, because I still remember noticing it as a kid on No","> CalDigit TS4 Wait, that's a $379 dock? Isn't it a bit too much to pay so much just to get back about the same ports that most non-Macs still have? If I connect my peripherals like SSD and mouse/kb t","You probably simply don't know what this is about. When Android phones ""age"" to a certain point, they become locked (user cannot log into the OS), and the only way to circumvent this is by jailbreakin"
GS23U,Galaxy S23 Ultra,갤럭시 S23 울트라,298,95,41,162,comparison:98|model_mention:62|performance:60|camera:48|battery:44,Fold defect [Kiwoom/Electrical Electronics Kim Ji-san] Electrical and Electronic Daily News (23.2.15) 1. Domestic news ▶️LG Innotek unveils FC-BGA mass production roadmap (The Elec) - 'FC-BGA 1st stag,"Naver Pay Easy purchase with Naver ID, Naver Pay https://pay.naver.com/member/notice/200021598 It says it's an error in some terminal apps. main s23u error Sub Quantum 5 Normal Both phones are in One ","23Wool One UI8.5 lag is really fucking bad I've never been like this before Even though it is refreshed and I press AI Select and save, the save pop-up appears but it does not save. It just sucks. - d","I'm using s23 ultra, but what about s26 ultra? In the beginning, there were a lot of people waiting for 26 Ultra because it wasn't that good. What is the S26 Ultra rating now? If you are still using 2",[Galaxy buds 4 Pro] Bad quality with no ambient controls gets fixed after OneUI 8.5 update So there was a post mentioning it in this sub at some point. It seems that it was a OneUI 8 glitch. It sounds
GS24,Galaxy S24,갤럭시 S24,296,80,38,178,comparison:155|model_mention:111|software:60|display:38|price:37,It's too loud. Can't we go with the S24 design? It's so uncomfortable.,"The heat is so bad in the S24 data environment. It is not charging, but the cause of heat is charging.","I used s24 before, but there was no heat or battery issues. They say 24PL is good because it has 12 GB of RAM, but I don't plan on using 24 Normal again. Also, there is a gps problem and it still can'","That's right. I don't play phone games, so I just wanted the battery to last a long time, generate less heat, and not run out of juice, so I bought the S23, but the price difference between it and the","Flip and Fold are both of the same generation, aren't they better cameras than the basic ones? I'm thinking of buying a Flip 6 or Fold 6. I heard from a Samjeon employee that the camera performance is"
GS25P,Galaxy S25+,갤럭시 S25+,289,73,38,178,comparison:145|model_mention:111|price:44|battery:35|camera:32,"I'm using S25+, but it's a plus. First of all, the sound is so bad Haptics are so lame The camera sucks too After using it, I think Ultra is just right. The weight... I guess I'll have to bear it. - d",s25+쓴지 1년반쯤됐는데 메인보드 교체할까말까 나 처음샀을때부터 원인모를 오류때문에 섭센 들락날락 엄청해서 원하면 메인보드교체 2년안에 와서 하라고했거든 근데 이거 또 한번밀면 파일옮기고 카톡백업하고 ㅈㄴ귀찮자나 할까말까,S25+) Today’s lunch: Neoguri (toppings added),"Samsung Galaxy S25 FE caught fire while charging, the third incident this year No matter how advanced the battery management and security technologies of smartphones become, there is always a risk, ev","It's okay considering it hasn't been opened. The price is similar to the used 25 Plus 25 Edge, so why?"
GS9,Galaxy S9,갤럭시 S9,268,126,57,85,comparison:39|model_mention:35|camera:13|software:9|battery:5,Is it worse than the Galaxy S9? -dc App,Is it worse than the Galaxy S9? -dc App,Is it worse than the Galaxy S9? -dc App,Galaxy S9 Plus has been running without any problems for 9 years.,"[Edit Comment] I used the Galaxy S9 Plus for 8 years until March of this year, but it turned into a battery problem."
GS6,Galaxy S6,갤럭시 S6,247,129,56,62,model_mention:1|comparison:1|battery:1|software:1,"My phone has a bottom panel... a left 'menu' touch screen area, a right 'back' area, and in the middle is a home button. Galaxy S6! Before that I used a droid and it had a nice optical joystick/center","Pretty bad take given that Android recently transitioned from 32 bit ARM to 64 bit ARM, which are essentially totally different ISAs and 64 bit ARM was used in absolutely nothing at all before Phones ","I started boycotting Samsung forever when I woke up one morning to the NFL app on my home screen on a Galaxy S6. Able to be disabled, but the fact that they&#x27;ll install spam apps long after you&#x","Badly swollen Galaxy battery - safe to handle? I've recently found my old Galaxy S6 in a drawer, where it's been sitting for the last ~1.5 years. In that time, the battery has swollen very badly, pict",">A non-removable battery allows for thinness you simply cannot get otherwise. I doubted this so I looked up dimensions. Samsung Galaxy S6 from 2015 is 6.8mm thick, with removable battery. S10 from 201"
GS22,Galaxy S22,갤럭시 S22,246,60,32,154,comparison:142|model_mention:99|software:50|performance:30|price:26,"Given the benchmarks: Small static file (174 B) - the bread and butter of static sites: server req/s p99 zeroserve 36,681 5.4 ms nginx 31,226 7.8 ms Caddy 12,830 22 ms zeroserve serves small files abo","Of course it's Exy's curse..ㅜ But the S22 Play that I'm using now It's a snap, but the yield is so bad that it's hot and sad;;","Is it because the phone is S22? No, I charged it to over 90% around 11 o'clock. Just got 15% right before. I went to the service store and they said there was no problem with the battery, so they stro",What Galaxy S22 owners feared is now practically confirmed It appears some Galaxy phone owners won't get One UI 8.5 after all.,"I'm thinking about throwing away Galaxy. I'm really serious. I've been using S22 for 4 years, but when I heard that they wouldn't even update to 8.5, I was so angry that I was thinking of throwing awa"
GW8,Galaxy Watch8,갤럭시 워치8,244,94,25,125,accessories:54|price:49|comparison:48|others:38|battery:33,"If the watch stutters a lot, should I go to Seopsen? I use an 8 watch If you turn the physical bezel quickly, The screen moved stuttering. Is it just a Tongshinox performance issue?","Watch 8 Pomppu is coming... I'm a Fit3 user and the original shape wasn't that good, so I left it, but when I went to Digital Plaza and turned it on, it looked great. - dc official App","삼성전자, 갤럭시 워치 차세대 헬스 기능 공개 삼성전자, 갤럭시 워치 차세대 헬스 기능 공개 삼성전자가 8일부터 삼성 헬스 앱 개편을 통해 하반기 출시 예정인 갤럭시 워치의 신규 기능을 공개하며 디지털 헬스 시장 공략을 강화한다. 삼성전자는 특히 5대 건강 영역인 ▲수면(Sleep) ▲활동(Activity) ▲식이(Nutrition) ▲마음 건강(Mindf","Samsung Electronics unveils next-generation health features of Galaxy Watch5 Samsung Electronics is strengthening its focus on the digital health market by unveiling new features of the Galaxy Watch, ","@ㅇㅇ So what you're saying is that after experiencing the Watch 8, you're thinking, well, the Watch is all messed up, right? So I want to let you know that it's different, but you're like, ""Well, I don"
GS26P,Galaxy S26+,갤럭시 S26+,238,56,21,161,comparison:110|model_mention:92|price:59|performance:44|battery:30,"ㅇㅋㅇㅋ I'm using S9, but it's been really slow these days. I'll have to look at the price for 26p. Thank you.","They say to change from s22 plus to s26, s26 plus. I'm worried because I heard that it's called Exynos and the reviews are very poor. Even if it's an appreciation festival, is it better to just buy a ","In fact, when you actually use the app in combination, except for the Ultra product line, the regular even number product strangely reduces the battery life and generates a lot of heat. ㅠㅠ It seems li","Galaxy Z Flip 8: leak points to split chip strategy with return of Snapdragon Samsung plans a profound change in its component strategy for the next generation of foldables, according to a leak from t","(S26 Plus perceived value) Let’s vote for next week’s predictions My phone broke while using S20+ and I want to replace it with a new one. Chic black with S26+ 512 hahaha I tried to buy it right away,"
GB3,Galaxy Buds3,갤럭시 버즈3,237,50,28,159,accessories:115|price:80|comparison:33|others:20|battery:15,"Is Buds 3FE an upgrade from Buds Pro? The one I was using before was Buds Pro, but after using it for about 5 years, Bluetooth connection was not working. So, I was looking for cost-effectiveness, and",People using AirPods on Galaxy I was just using Buds 3FE and then received AirPod Pro 2 as a gift. I use it connected... but the sound quality is not as good as the Buds 3fe. I have a MacBook iPad at ,"Jovi T1 arrives in Brazil with a 6,500 mAh battery; see the price Jovi T1 arrived in Brazil (photo: João Cruz/Tecnoblog) Summary Jovi T1 5G arrives in Brazil this Tuesday (06/02), with a 6,500 mAh bat","How about 100,000 Buzz 3FE through Hong Kong direct purchase? Not so good","I'm trying out the Buds 3 I received, but switching between tabs with my phone seems to be a problem. As soon as I packed my bags at the study cafe and connected my Buds on the way home. When I heard "
GFE25,Galaxy FE25,갤럭시 FE25,216,45,14,157,comparison:93|model_mention:65|price:56|software:23|battery:20,"Isn’t s25fe cheap? Originally, I only used Galaxy A, but I don't think 128GB can handle it anymore, so I'm thinking about s25fe, but self-sufficiency is still expensive and there's no skt device. I ho","Duo Mobile authenticator app no longer recommended? I went to Wirecutter website but the Duo Mobile authenticator app is no longer recommended, it used to be Duo Mobile authenticator app recommended ,","After reading the post, I regretted buying the S25FE last week. 150,000 won more than at the time. They're going to raise the price and let people buy it again with a gift certificate ㅡㅡ Instead of gi","146,000 won for 25fe doesn’t seem like a good deal. 26 can be bought for 180,000","I'm using Galaxy S25 FE. I have a girlfriend, so I turn on the Line phone at night and watch Instagram or YouTube. Sometimes, the phone itself stutters and I have to force close the apps and then rebo"
GS10,Galaxy S10,갤럭시 S10,196,87,50,59,comparison:15|model_mention:8|camera:8|software:7|display:7,"Samsung is actually the worst offender in the Android world for making variants. Each device usually has 5 versions for each market (US, EU, China, Korea, Rest of the world) + individual board revisio","I guess? I don&#x27;t know the exact thickness either, but I held it up sideways behind my Samsung S10 and it was maybe a millimeter or so thicker, so it&#x27;s not huge. Like 9mm-1cm. I have never th","Is there a replacement product if I drop my phone and the screen breaks? I dropped my phone and it worked, but the screen was completely broken. To summarize, ""The screen appears. Touch is not possibl","Today a tech lead with admin role on GH opened a PR, approved it for himself and merged it, because he could override GH rules. The PR had failing unit tests. It went straight to prod and caused 20 mi","I too like the simplicity and standardisation of the 3.5mm headphone jack, and think it's a shame that it's fallen out of fashion in smartphones. But I think this is something that a small number of p"
GS22U,Galaxy S22 Ultra,갤럭시 S22 울트라,191,94,39,58,comparison:88|software:74|display:59|model_mention:57|performance:52,Isn’t 22Wool one of the worst Galaxy devices? Why are you using that?,Isn’t 22Wool one of the worst Galaxy devices? Why are you using that?,Isn’t 22Wool one of the worst Galaxy devices? Why are you using that?,"I kept wiping it off with s22u hand wash, but there was no problem.","galaxy fold glitches Even if the Hyundai GDI breaks down, does it acknowledge the engine defect?? They said they would file a lawsuit in a foreign country and have the defect recognized, so they would"
GZFL7,Galaxy Z Flip7,갤럭시 Z 플립7,185,68,35,82,comparison:88|model_mention:67|display:48|price:34|performance:30,"So, they put this kind of garbage in the Flip 7 that can't even be compared to the 8L.","Flip 3 I once replaced the Flip 3 screen with my father's phone, but today I can't touch the top screen, perhaps because the wire was disconnected. I'm just looking to replace it, but they say I'll ge","Flip 7 is a decent device if you buy it cheaply. But the problem is that it is too good. There is a subtle residual heat, perhaps because of the JOAT chipset 2500.","Bro, no wonder Samsung fanboys are considered crazy. Exynos is hated by everyone even on normal phones. Having it on a foldable is even worse. Say what you want about having the Elite on the Razr, but","A Flip 6 user’s impressions of the Flip 7. The grip is trash. I tried to change it to 7, but passed with this one. I'm 180cm tall, so my hands aren't small, but they're not that big, so the grip on th"
GZF6,Galaxy Z Fold6,갤럭시 Z 폴드6,172,49,26,97,comparison:110|model_mention:80|display:39|camera:23|accessories:21,"The Fold 6 was more comfortable for me, so I played around with it for a while and then went back to the Fold. It seems like there is a difference in people's tastes. It's too angular and doesn't feel","Reasons to buy a regular fold rather than a wide I am using Fold 6, but until now I mainly used S Ultra. I've been using Fold 2 or Fold 3 for about 3 months. At that time, I couldn't use the Fold beca",진짜 플립이나 폴드 이런건 고장나면 수리비 폭탄이냐? 내 친구가 폴드6인가 쓰는데 수리비가 140만원이라던디 ㄹㅇ임?,"apps open in split screen by default since one ui 8.5 update my fold6 updated to one ui 8.5 a couple of days ago and one of the changes is really irritating me right now, yet i haven't been able to tu",Didn’t this phone flop? Or am I thinking of the fold 6.
GWU,Galaxy Watch Ultra,갤럭시 워치 울트라,167,72,16,79,comparison:76|battery:46|price:42|design:32|display:30,"I use an iPhone, so what Samsung products are good to buy at this 20% chance? Main phone: iPhone 15P Mac Subphone: Galaxy Fold 5 (Samsung Pay, used as a petit tablet) Earphones: None However, I recent","Apple Starts Selling Refurbished Apple Watch Series 11, Ultra 3, and SE 3 Apple is now selling refurbished versions of the Apple Watch Series 11 , Apple Watch Ultra 3 , and Apple Watch SE 3 at discoun",iPhone Ultra: Apple would not have decided whether Fold foldable cell phone would arrive in classic color A new dubious rumor suggests that Apple is still undecided about including the black color opt,"Does Watch Ultra always give inconclusive ecg over 100bpm? Hey, I was stressed during the time I took ecg and when its over 100bpm it always gives inconclusive result. On checking what your result mea","If I'm going to buy it, I'll buy the Watch Ultra. I'm currently using the Watch 5 Pro Bluetooth, but it stutters, so I'm thinking of moving on - dc App"
GB3P,Galaxy Buds3 Pro,갤럭시 버즈3 프로,165,45,25,95,accessories:57|others:36|comparison:26|price:25|battery:15,"It sucks, the Buds 3 Pro microphone is broken. Fuck, life is so busy that I forgot about it. The free period has expired The free period is only one year.","s24 Spotify bug question Hello, I am using Spotify on my Galaxy S24 and it has been working fine for two months, but about 2-3 weeks ago, it suddenly skips the first 1-2 seconds every time a song ends",Real or fake Buds3 pro on vinted priced at 60. Has all parts including cable. Seller 26 reviews all 5 stars. Need advice if their real.,I use Buds 3 Pro. My friends say they can't hear me when I call them and it rings. Is this something defective?,"Buds 3 Pro broken? It's broken, but I'll replace it. I used it for about 10 months. New replacement ㅅㅅ Samjeon Nice - dc official App"
